ID,Target
TEST_0000,neutral
TEST_0001,neutral
TEST_0002,neutral
TEST_0003,neutral
TEST_0004,neutral
TEST_0005,anger
TEST_0006,anger
TEST_0007,joy
TEST_0008,disgust
TEST_0009,neutral
TEST_0010,neutral
TEST_0011,neutral
TEST_0012,surprise
TEST_0013,neutral
TEST_0014,neutral
TEST_0015,anger
TEST_0016,joy
TEST_0017,neutral
TEST_0018,joy
TEST_0019,joy
TEST_0020,neutral
TEST_0021,neutral
TEST_0022,neutral
TEST_0023,neutral
TEST_0024,neutral
TEST_0025,neutral
TEST_0026,neutral
TEST_0027,surprise
TEST_0028,joy
TEST_0029,joy
TEST_0030,neutral
TEST_0031,joy
TEST_0032,surprise
TEST_0033,fear
TEST_0034,surprise
TEST_0035,surprise
TEST_0036,anger
TEST_0037,neutral
TEST_0038,neutral
TEST_0039,neutral
TEST_0040,neutral
TEST_0041,sadness
TEST_0042,neutral
TEST_0043,neutral
TEST_0044,neutral
TEST_0045,neutral
TEST_0046,neutral
TEST_0047,neutral
TEST_0048,neutral
TEST_0049,surprise
TEST_0050,neutral
TEST_0051,neutral
TEST_0052,disgust
TEST_0053,neutral
TEST_0054,joy
TEST_0055,joy
TEST_0056,neutral
TEST_0057,joy
TEST_0058,surprise
TEST_0059,neutral
TEST_0060,neutral
TEST_0061,sadness
TEST_0062,neutral
TEST_0063,neutral
TEST_0064,neutral
TEST_0065,neutral
TEST_0066,joy
TEST_0067,neutral
TEST_0068,neutral
TEST_0069,joy
TEST_0070,joy
TEST_0071,anger
TEST_0072,neutral
TEST_0073,surprise
TEST_0074,neutral
TEST_0075,disgust
TEST_0076,neutral
TEST_0077,sadness
TEST_0078,sadness
TEST_0079,joy
TEST_0080,neutral
TEST_0081,joy
TEST_0082,neutral
TEST_0083,neutral
TEST_0084,fear
TEST_0085,neutral
TEST_0086,sadness
TEST_0087,neutral
TEST_0088,joy
TEST_0089,neutral
TEST_0090,neutral
TEST_0091,neutral
TEST_0092,neutral
TEST_0093,surprise
TEST_0094,neutral
TEST_0095,anger
TEST_0096,anger
TEST_0097,anger
TEST_0098,joy
TEST_0099,neutral
TEST_0100,surprise
TEST_0101,joy
TEST_0102,neutral
TEST_0103,neutral
TEST_0104,neutral
TEST_0105,joy
TEST_0106,surprise
TEST_0107,neutral
TEST_0108,surprise
TEST_0109,neutral
TEST_0110,neutral
TEST_0111,neutral
TEST_0112,anger
TEST_0113,neutral
TEST_0114,anger
TEST_0115,neutral
TEST_0116,anger
TEST_0117,fear
TEST_0118,anger
TEST_0119,joy
TEST_0120,sadness
TEST_0121,surprise
TEST_0122,joy
TEST_0123,joy
TEST_0124,joy
TEST_0125,fear
TEST_0126,neutral
TEST_0127,joy
TEST_0128,joy
TEST_0129,neutral
TEST_0130,joy
TEST_0131,joy
TEST_0132,fear
TEST_0133,disgust
TEST_0134,joy
TEST_0135,joy
TEST_0136,joy
TEST_0137,anger
TEST_0138,neutral
TEST_0139,neutral
TEST_0140,neutral
TEST_0141,neutral
TEST_0142,disgust
TEST_0143,neutral
TEST_0144,neutral
TEST_0145,neutral
TEST_0146,neutral
TEST_0147,anger
TEST_0148,neutral
TEST_0149,neutral
TEST_0150,joy
TEST_0151,surprise
TEST_0152,fear
TEST_0153,joy
TEST_0154,surprise
TEST_0155,anger
TEST_0156,surprise
TEST_0157,sadness
TEST_0158,disgust
TEST_0159,neutral
TEST_0160,neutral
TEST_0161,neutral
TEST_0162,neutral
TEST_0163,surprise
TEST_0164,fear
TEST_0165,anger
TEST_0166,neutral
TEST_0167,neutral
TEST_0168,neutral
TEST_0169,neutral
TEST_0170,neutral
TEST_0171,neutral
TEST_0172,sadness
TEST_0173,neutral
TEST_0174,anger
TEST_0175,anger
TEST_0176,anger
TEST_0177,anger
TEST_0178,anger
TEST_0179,sadness
TEST_0180,neutral
TEST_0181,neutral
TEST_0182,neutral
TEST_0183,joy
TEST_0184,sadness
TEST_0185,surprise
TEST_0186,neutral
TEST_0187,neutral
TEST_0188,neutral
TEST_0189,joy
TEST_0190,neutral
TEST_0191,joy
TEST_0192,joy
TEST_0193,neutral
TEST_0194,neutral
TEST_0195,neutral
TEST_0196,neutral
TEST_0197,sadness
TEST_0198,joy
TEST_0199,neutral
TEST_0200,joy
TEST_0201,neutral
TEST_0202,sadness
TEST_0203,neutral
TEST_0204,joy
TEST_0205,neutral
TEST_0206,neutral
TEST_0207,neutral
TEST_0208,sadness
TEST_0209,surprise
TEST_0210,neutral
TEST_0211,neutral
TEST_0212,joy
TEST_0213,neutral
TEST_0214,neutral
TEST_0215,anger
